director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Christopher Nolan,Kristian Van der Heyden,Alexander Michael Helisek,Russ Fega,Adventure  Drama  Science Fiction,interstellar,Kristian Van der Heyden Alexander Michael Helisek Russ Fega Christopher Nolan Adventure  Drama  Science Fiction
Christopher Nolan,Silvie Laguna,Talulah Riley,Magnus Nolan,Action  Science Fiction  Adventure,inception,Silvie Laguna Talulah Riley Magnus Nolan Christopher Nolan Action  Science Fiction  Adventure
Joss Whedon,Eric Frank,Walter Perez,Rashmi Rustagi,Science Fiction  Action  Adventure,the avengers,Eric Frank Walter Perez Rashmi Rustagi Joss Whedon Science Fiction  Action  Adventure
Christopher Nolan,Edison Chen,Will Zahrn,Buster Reeves,Action  Crime  Thriller,the dark knight,Edison Chen Will Zahrn Buster Reeves Christopher Nolan Action  Crime  Thriller
James Cameron,Haniyyah Tahirah,Sonia Yee,Sara Wilson,Action  Adventure  Fantasy  Science Fiction,avatar,Haniyyah Tahirah Sonia Yee Sara Wilson James Cameron Action  Adventure  Fantasy  Science Fiction
Tim Miller,Leslie Uggams,Stefan Kapičić,Ed Skrein,Action  Adventure  Comedy,deadpool,Leslie Uggams Stefan Kapičić Ed Skrein Tim Miller Action  Adventure  Comedy
Joe Russo,Ameenah Kaplan,Florence Kasumba,Aaron Lazar,Adventure  Action  Science Fiction,avengers: infinity war,Ameenah Kaplan Florence Kasumba Aaron Lazar Joe Russo Adventure  Action  Science Fiction
David Fincher,Brad Pitt,Tyrone R. Livingston,Peter Iacangelo,Drama  Thriller,fight club,Brad Pitt Tyrone R. Livingston Peter Iacangelo David Fincher Drama  Thriller
Frank Darabont,Bill Bolender,James Whitmore,Vincent Foster,Drama  Crime,the shawshank redemption,Bill Bolender James Whitmore Vincent Foster Frank Darabont Drama  Crime
Quentin Tarantino,Rosanna Arquette,Karen Maruyama,Glendon Rich,Thriller  Crime  Comedy,pulp fiction,Rosanna Arquette Karen Maruyama Glendon Rich Quentin Tarantino Thriller  Crime  Comedy
James Gunn,Chris Pratt,Lee Pace,Robert Firth,Action  Science Fiction  Adventure,guardians of the galaxy,Chris Pratt Lee Pace Robert Firth James Gunn Action  Science Fiction  Adventure
Robert Zemeckis,Kenneth Bevington,Grand L. Bush,John Randall,Comedy  Drama  Romance,forrest gump,Kenneth Bevington Grand L. Bush John Randall Robert Zemeckis Comedy  Drama  Romance
Chris Columbus,Jamie Waylett,Leslie Phillips,Geraldine Somerville,Adventure  Fantasy,harry potter and the philosopher's stone,Jamie Waylett Leslie Phillips Geraldine Somerville Chris Columbus Adventure  Fantasy
Jon Favreau,Jim Cramer,Garret Noël,Nicole Lindeblad,Action  Science Fiction  Adventure,iron man,Jim Cramer Garret Noël Nicole Lindeblad Jon Favreau Action  Science Fiction  Adventure
Quentin Tarantino,Cindy Mah,Amber Tamblyn,Kim Collins,Drama  Western,django unchained,Cindy Mah Amber Tamblyn Kim Collins Quentin Tarantino Drama  Western
Lana Wachowski,Michael Butcher,Robert Simper,Bill Young,Action  Science Fiction,the matrix,Michael Butcher Robert Simper Bill Young Lana Wachowski Action  Science Fiction
Todd Phillips,Rocco Luna,Rich Campbell,Zazie Beetz,Crime  Thriller  Drama,joker,Rocco Luna Rich Campbell Zazie Beetz Todd Phillips Crime  Thriller  Drama
Joe Russo,Patrick Gorman,Chris Pratt,Scarlett Johansson,Adventure  Science Fiction  Action,avengers: endgame,Patrick Gorman Chris Pratt Scarlett Johansson Joe Russo Adventure  Science Fiction  Action
Peter Jackson,Riley Brophy,Richard Maybery,Greg Lane,Adventure  Fantasy  Action,the lord of the rings: the fellowship of the ring,Riley Brophy Richard Maybery Greg Lane Peter Jackson Adventure  Fantasy  Action
James Cameron,Rocky Taylor,Mark Capri,Amy Gaipa,Drama  Romance,titanic,Rocky Taylor Mark Capri Amy Gaipa James Cameron Drama  Romance
Peter Jackson,Ali Astin,Richard Edge,Katie Jackson,Adventure  Fantasy  Action,the lord of the rings: the return of the king,Ali Astin Richard Edge Katie Jackson Peter Jackson Adventure  Fantasy  Action
Martin Scorsese,Matthew Rauch,Stefano Villabona,Bryan Burton,Crime  Drama  Comedy,the wolf of wall street,Matthew Rauch Stefano Villabona Bryan Burton Martin Scorsese Crime  Drama  Comedy
Martin Scorsese,Tom Kemp,Ruby Jerins,Jill Larson,Drama  Thriller  Mystery,shutter island,Tom Kemp Ruby Jerins Jill Larson Martin Scorsese Drama  Thriller  Mystery
Joss Whedon,Jeremy Renner,Namju Go,Mandla Gaduka,Action  Adventure  Science Fiction,avengers: age of ultron,Jeremy Renner Namju Go Mandla Gaduka Joss Whedon Action  Adventure  Science Fiction
Christopher Nolan,Joe Lipari,Daina Griffith,Kyle Patrick Brennan,Action  Crime  Drama  Thriller,the dark knight rises,Joe Lipari Daina Griffith Kyle Patrick Brennan Christopher Nolan Action  Crime  Drama  Thriller
George Miller,Megan Gale,Cass Cumerford,Christina Koch,Action  Adventure  Science Fiction,mad max: fury road,Megan Gale Cass Cumerford Christina Koch George Miller Action  Adventure  Science Fiction
Quentin Tarantino,Carlos Fidel,Volker Michalowski,Brad Pitt,Drama  Thriller  War,inglourious basterds,Carlos Fidel Volker Michalowski Brad Pitt Quentin Tarantino Drama  Thriller  War
Joe Russo,John Slattery,John Curran,Andrew Botchwey,Adventure  Action  Science Fiction,captain america: civil war,John Slattery John Curran Andrew Botchwey Joe Russo Adventure  Action  Science Fiction
